,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
305,DEN,52.0,Jeff Bzdelik,2005,,,,,28,13.0,15.0,0.464,2.0
307,NJN,37.0,John Calipari,1997,,,,,82,26.0,56.0,0.317,5.0
308,NJN,38.0,John Calipari,1998,3.0,0.0,3.0,0.0,82,43.0,39.0,0.524,3.0
309,NJN,39.0,John Calipari,1999,,,,,20,3.0,17.0,0.15,7.0
311,VIR,28.0,Mack Calvin,1976,,,,,6,0.0,6.0,0.0,7.0
312,LAC,44.0,Mack Calvin,1992,,,,,2,1.0,1.0,0.5,5.0
314,POR,,Kaleb Canales,2012,,,,,23,8.0,15.0,0.348,4.0
316,POR,45.0,P.J. Carlesimo,1995,3.0,0.0,3.0,0.0,82,44.0,38.0,0.537,4.0
317,POR,46.0,P.J. Carlesimo,1996,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,3.0
318,POR,47.0,P.J. Carlesimo,1997,4.0,1.0,3.0,0.25,82,49.0,33.0,0.598,3.0
319,GSW,48.0,P.J. Carlesimo,1998,,,,,82,19.0,63.0,0.232,6.0
320,GSW,49.0,P.J. Carlesimo,1999,,,,,50,21.0,29.0,0.42,6.0
